Book_ID,Title,Author,ISBN,Edition,Publication_Year,Category_Name,Publisher_Name,Availability
85,Finding Leslie Sims,David Rodriguez,978-1-05-831997-9,1,2016,Biography,Chronicle Books,Available
86,A Story of Storm,Antonio Johnson,978-0-207-04961-3,3,1994,Fiction,Pearson Education,Reserved
87,Shadow in Practice,Jennifer Williamson,978-0-9907676-9-5,4,1982,Technology,McGraw-Hill,Borrowed
88,The Life of Gina Pace,Jordan Murphy,978-0-10-919392-6,4,1991,Biography,Macmillan Publishers,Borrowed
89,Lost Ocean,Jill Sanchez,978-0-249-68549-7,2,1996,History,Bloomsbury,Borrowed
90,The Case of the Dark River,Grant Wood,978-0-03-880653-9,1,1989,Mystery,MIT Press,Reserved
91,Modern Path,Collin Alvarez,978-1-995946-52-8,4,1980,Technology,Hachette Book Group,Borrowed
92,Master Your Star,Thomas Fowler DDS,978-0-375-63620-2,3,1986,Self-Help,Pearson Education,Available
93,The Storm Handbook,Dylan Lee,978-0-03-342342-7,1,2020,Technology,Chronicle Books,Available
94,The Case of the Broken River,Ryan Lozano,978-0-615-34735-6,1,1982,Mystery,Hachette Book Group,Reserved
95,Murder at Stonehaven,Yolanda Keith,978-0-223-38655-6,4,2003,Mystery,Pearson Education,Available
96,River Every Day,Luis Lopez,978-0-530-42897-0,5,2006,Self-Help,Hachette Book Group,Available
97,The Last Fire,Amy Romero,978-1-872558-77-6,3,1986,Fiction,Pearson Education,Borrowed
98,Finding Kevin Little,Marie Clark,978-1-363-46692-4,2,1987,Biography,Chronicle Books,Available
99,Murder at Millbrook,Bradley Wallace,978-0-907895-67-1,3,1995,Mystery,Simon & Schuster,Available
100,Leading with Storm,James White,978-1-151-48881-7,3,1989,Business,MIT Press,Available
101,Leading with Ocean,Andrew Gonzalez,978-1-4443-9284-5,2,1987,Business,Pearson Education,Available
102,When Star Falls,Jennifer Sullivan,978-1-82633-373-2,1,1991,Fiction,Hachette Book Group,Available
103,A Story of River,Julia Conner,978-0-663-77805-8,1,2010,Fiction,Scholastic,Available
104,The Life of Shane Torres,Kathryn Hopkins,978-1-366-68459-2,5,1982,Biography,Springer,Available
105,The Power of Fire,Troy Rivera,978-1-361-86371-8,4,2023,Self-Help,HarperCollins,Available
106,Missing River,Christopher Leonard,978-0-9702316-4-2,5,1989,Mystery,HarperCollins,Borrowed
107,Lost Star,Jacob Smith,978-1-62128-671-4,3,2009,History,Wiley,Available
108,The Storm Strategy,Emily Meyers,978-0-9949387-4-9,4,1994,Business,Cambridge University Press,Available
109,In the Words of William Griffin,Lisa Wright,978-1-77901-475-7,4,2000,Biography,Pearson Education,Borrowed
110,The Philosophy of River,Rhonda Thompson,978-0-9676291-6-2,1,1985,Philosophy,Cambridge University Press,Available
111,Ocean Explained,Stephen Medina,978-0-7681-5118-3,5,2015,Science,Wiley,Borrowed
112,In the Words of Erika Hayes,Jonathan Murray,978-1-65636-004-5,1,1998,Biography,McGraw-Hill,Borrowed
113,The Philosophy of Fire,Kari Jones,978-1-274-22091-2,1,2002,Philosophy,Chronicle Books,Available
114,Master Your Storm,Michael Smith,978-0-7523-0837-1,5,2019,Self-Help,McGraw-Hill,Available
115,Master Your Mountain,Michelle Prince,978-1-70900-633-3,3,2001,Self-Help,Oxford University Press,Available
116,The Last Dream,William Rogers,978-0-312-20681-9,2,2020,Fiction,Penguin Random House,Available
117,Understanding Dream,Taylor Foster,978-0-331-55206-5,3,1990,Science,Oxford University Press,Borrowed
118,On Mountain,Matthew Ramirez,978-0-13-649718-9,5,1983,Philosophy,Pearson Education,Borrowed
119,Principles of Star,Brandon Nguyen,978-0-525-71509-2,4,1997,Science,Macmillan Publishers,Available
120,Becoming Lost,Kathy Bush,978-0-09-143639-1,5,2011,Self-Help,Wiley,Available
121,Shadow and Meaning,James May,978-1-5245-0864-7,2,1999,Philosophy,Macmillan Publishers,Available
122,Lost River,Daniel Brown,978-0-9685270-1-6,4,2007,History,Simon & Schuster,Borrowed
123,The Rise of Ocean,Brenda Harris,978-0-9833816-7-9,3,1984,History,Cambridge University Press,Available
124,A Story of Path,David Mitchell,978-0-471-56627-4,4,2016,Fiction,Cambridge University Press,Available
125,My First Path,Sally Leon,978-1-61498-282-1,5,2009,Children,Chronicle Books,Available
126,The Life of John Chavez,Larry Jones,978-1-323-00857-7,4,2013,Biography,HarperCollins,Available
127,Path Goes to School,Janet Parker,978-1-01-692364-4,1,2012,Children,Pearson Education,Borrowed
128,Understanding Path,Madison Richardson,978-1-63370-502-9,2,1995,Science,HarperCollins,Available
129,The Rise of Mountain,Lance Lynn,978-0-11-669183-5,1,1991,History,MIT Press,Available
130,Missing Star,Kathryn Ferguson,978-1-61195-243-8,3,1989,Mystery,Scholastic,Available
131,Star Explained,Dr. April Jones,978-1-4622-5223-7,3,2012,Science,HarperCollins,Available
132,On Path,Curtis Brady,978-1-67912-141-8,1,2021,Philosophy,Chronicle Books,Available
133,Principles of Star,Karen Chambers,978-0-04-090138-3,1,2008,Science,Bloomsbury,Borrowed
134,Fire in Business,Deborah Tucker,978-1-55553-566-7,2,1983,Business,Scholastic,Borrowed
135,Ocean Explained,April Harrell,978-0-09-184357-1,2,1982,Science,Macmillan Publishers,Borrowed
136,Murder at Westgate,Cole Andersen,978-0-505-73976-6,4,2006,Mystery,MIT Press,Lost
137,The Life of Rebecca Bailey,Teresa Alvarez,978-1-4932-8980-6,1,2015,Biography,Pearson Education,Borrowed
138,Little River,Kimberly Baxter,978-1-178-33321-3,2,2002,Children,Hachette Book Group,Available
139,The Adventures of Ocean,Erin Reyes,978-0-471-28715-5,3,1988,Children,Pearson Education,Available
140,Becoming Secret,Maria Bennett,978-1-334-14111-9,3,1999,Self-Help,Simon & Schuster,Available
141,Modern Storm,Laura Anderson,978-1-904098-36-2,2,1984,Technology,Hachette Book Group,Available
142,The Science of Star,Rebecca Meyer,978-0-608-75243-3,5,2004,Science,Simon & Schuster,Available
143,The Rise of Shadow,Michele George,978-0-497-37460-0,3,2023,History,Springer,Available
144,The Storm Handbook,Rita Graves,978-0-7642-0865-2,2,1999,Technology,MIT Press,Reserved
145,Murder at Stonehaven,Benjamin Acosta,978-0-86125-904-5,4,1998,Mystery,MIT Press,Reserved
146,My First Storm,Doris Thomas,978-0-05-912662-3,2,1996,Children,Penguin Random House,Available
147,The Secret Secret,Anthony Baird,978-1-263-01367-9,1,1990,Mystery,Hachette Book Group,Borrowed
148,Murder at Ashford,Patty Esparza,978-1-64750-111-2,4,2002,Mystery,Bloomsbury,Reserved
149,A Story of Path,Kevin Archer,978-1-192-67649-5,4,1985,Fiction,Oxford University Press,Available
150,Mastering Mountain,Kimberly Sullivan,978-1-888718-98-0,1,1998,Technology,Bloomsbury,Available
151,Murder at Riverdale,Tracie Merritt,978-0-08-751029-6,1,1985,Mystery,Penguin Random House,Borrowed
152,The Philosophy of Star,Amanda Whitney,978-1-82603-408-0,4,1987,Philosophy,MIT Press,Available
153,On Storm,John Edwards,978-0-10-303243-6,5,2009,Philosophy,HarperCollins,Available
154,Principles of Ocean,Carl Dean,978-1-4626-7146-5,5,2016,Science,Macmillan Publishers,Borrowed
155,The History of Path,Debra Schultz,978-1-989262-56-6,5,2006,History,Simon & Schuster,Available
156,Ocean Explained,Joseph Sutton,978-0-515-54234-9,5,2012,Science,Wiley,Available
157,A Story of Dream,Brian Frost,978-1-971859-48-4,3,1981,Fiction,Oxford University Press,Available
158,The Science of Path,Paul White,978-1-924082-22-8,1,2002,Science,Wiley,Available
159,Nicolas Brown: A Memoir,Vanessa Zimmerman,978-1-72757-844-7,2,1988,Biography,HarperCollins,Borrowed
160,Murder at Millbrook,Crystal Reid,978-1-65111-312-7,3,1999,Mystery,Wiley,Available
161,My First Shadow,Rhonda Smith,978-0-7788-1609-6,2,1998,Children,Oxford University Press,Lost
162,When River Falls,Joseph Reed,978-1-283-21528-2,4,2005,Fiction,Springer,Borrowed
163,Missing Mountain,Wayne Morgan,978-0-447-44309-7,4,2003,Mystery,Bloomsbury,Borrowed
164,The Power of River,Kaylee Barry,978-1-05-097545-6,5,1991,Self-Help,Wiley,Available
165,On Light,Adam Jordan,978-0-88261-702-2,4,2018,Philosophy,Springer,Available
166,My First Fire,Jacob Mcclain,978-0-7722-5605-8,3,2019,Children,Cambridge University Press,Available
167,On Dream,Casey Fisher,978-0-237-41678-2,5,2023,Philosophy,Simon & Schuster,Borrowed
168,A Story of Mountain,Jennifer Barber,978-0-11-022580-7,2,2021,Fiction,Oxford University Press,Available
169,The Life of Cynthia Gregory,William Mclaughlin,978-1-4471-6392-3,4,2003,Biography,Oxford University Press,Available
170,Murder at Stonehaven,Dennis Haynes,978-0-7189-2392-1,3,2021,Mystery,Hachette Book Group,Borrowed
171,Mastering Fire,Tanya Simmons DDS,978-0-668-43356-3,4,2015,Technology,HarperCollins,Reserved
172,Star and Meaning,Derrick Ramirez,978-1-350-20005-0,4,1992,Philosophy,HarperCollins,Borrowed
173,Fire: A Chronicle,Cody Vaughan,978-1-4110-8255-7,3,2022,History,Oxford University Press,Borrowed
174,Mountain Explained,Jacqueline Santos,978-1-112-91093-7,2,2003,Science,Wiley,Available
175,Storm in Practice,Lisa Turner,978-0-8202-3684-1,1,2003,Technology,Wiley,Available
176,Leading with River,Hannah Diaz,978-1-176-88029-0,3,2005,Business,Springer,Available
177,Missing River,Amy Compton,978-1-78812-786-8,3,2021,Mystery,HarperCollins,Available
178,The Case of the Silent Ocean,Aaron Armstrong,978-1-884434-48-8,5,1991,Mystery,MIT Press,Available
179,The History of Ocean,Mark Mcmahon,978-0-403-38105-0,3,1990,History,Simon & Schuster,Available
180,Valerie Nguyen: A Memoir,Stacey Baker,978-1-945005-34-3,1,1996,Biography,Macmillan Publishers,Reserved
181,Master Your Ocean,Paula Deleon,978-1-4983-7354-8,5,2021,Self-Help,Simon & Schuster,Available
182,Leading with Star,Jeremy Blair,978-1-271-72722-3,5,2001,Business,Chronicle Books,Reserved
183,The Shadow Strategy,Alisha Martin,978-1-931216-37-1,5,1996,Business,Pearson Education,Available
184,Modern Shadow,Monica Morton,978-1-60100-231-0,5,1998,Technology,Pearson Education,Borrowed
185,Fire and Meaning,Alexandra Conner,978-0-327-97245-7,1,1990,Philosophy,Scholastic,Available
186,Little Star,Joshua Smith,978-0-8418-6203-6,3,2000,Children,Springer,Available
187,Jeffery Hernandez: A Memoir,Courtney Koch,978-0-7213-1451-8,1,2000,Biography,Macmillan Publishers,Reserved
188,Missing Mountain,Stephanie Munoz,978-1-85926-249-8,1,1998,Mystery,Cambridge University Press,Available
189,Leading with Star,Mary Cantu,978-0-225-26771-6,3,1992,Business,MIT Press,Available
190,Light: A Chronicle,Frank Anderson,978-1-57676-952-2,1,1985,History,Cambridge University Press,Available
191,Star Every Day,Jonathan Ferguson,978-1-196-89313-3,1,1983,Self-Help,Hachette Book Group,Available
192,Missing Ocean,John Anderson,978-0-552-47286-9,1,2007,Mystery,Simon & Schuster,Borrowed
193,Shadow and Meaning,Victor Padilla,978-0-650-19179-2,1,2016,Philosophy,Wiley,Borrowed
194,The Dream Handbook,Billy Carroll,978-0-272-84765-7,4,2015,Technology,Hachette Book Group,Available
195,The River Strategy,Anthony Day,978-0-06-678498-4,3,2001,Business,Wiley,Borrowed
196,Darren Huynh: A Memoir,Brandon Gray,978-0-690-36289-3,5,1982,Biography,Penguin Random House,Borrowed
197,When Ocean Falls,Martin Wilcox,978-0-563-41115-4,2,2018,Fiction,Bloomsbury,Available
198,Master Your Dream,Joshua Jones,978-1-383-03419-6,3,2017,Self-Help,Oxford University Press,Available
199,Becoming Forgotten,Ernest Harding,978-1-4683-5652-6,1,2003,Self-Help,Oxford University Press,Borrowed
200,Star Explained,Ashlee Aguirre,978-0-9679042-2-1,3,2021,Science,MIT Press,Reserved
201,The Fire Strategy,Crystal Lewis,978-0-88985-725-4,5,2020,Business,Springer,Available
202,The Art of Storm,Micheal Vega,978-0-9912971-0-8,5,2024,Business,HarperCollins,Borrowed
203,The Mountain Handbook,Rachael Miller,978-1-5242-1495-1,2,2006,Technology,Wiley,Available
204,The Ocean Strategy,William Good,978-0-19-705466-6,5,2000,Business,Pearson Education,Reserved
205,The Case of the Silent Fire,Ryan Crane,978-0-687-40903-7,3,2014,Mystery,Oxford University Press,Available
206,The Philosophy of Light,James Hudson,978-0-671-57787-2,3,1994,Philosophy,Hachette Book Group,Borrowed
207,Fire and Meaning,Jennifer Hamilton,978-1-155-97371-5,5,1997,Philosophy,Hachette Book Group,Borrowed
208,Principles of Path,Mark Flores,978-1-05-673030-1,3,1982,Science,Hachette Book Group,Available
209,Principles of Fire,Angela Jones,978-0-476-83420-0,2,2014,Science,Hachette Book Group,Available
210,Star Every Day,Carmen Bailey,978-1-78265-960-0,5,1995,Self-Help,Macmillan Publishers,Borrowed
211,The Last Shadow,Laura Thomas,978-0-272-75164-0,4,2001,Fiction,Springer,Borrowed
212,Murder at Ashford,Beth Cole,978-0-336-82963-6,4,2021,Mystery,Bloomsbury,Available
213,Murder at Westgate,Alexis Cervantes,978-1-4817-7665-3,1,1985,Mystery,Pearson Education,Available
214,The Dream Strategy,Ashley Thompson,978-1-289-28664-4,1,2005,Business,MIT Press,Available
215,The Case of the Hidden Shadow,Marc Buckley,978-0-11-096179-8,5,2018,Mystery,HarperCollins,Available
216,In the Words of Ariana Wallace,Amanda Roberts,978-0-378-61371-2,3,1992,Biography,MIT Press,Available
217,Principles of Mountain,Maria Mueller,978-0-538-44446-0,3,1998,Science,McGraw-Hill,Available
218,Modern Ocean,Alexander Gibbs,978-1-296-38639-9,1,2005,Technology,Pearson Education,Available
219,Understanding Path,Betty Fields,978-1-58263-128-8,1,1996,Science,Cambridge University Press,Available
220,The Light Handbook,Sydney Hood,978-1-311-06092-1,5,1980,Technology,Hachette Book Group,Available
221,The Life of Michael Knapp,James Newton,978-1-5233-4383-6,2,2005,Biography,Pearson Education,Borrowed
222,Master Your Light,Anthony Miller,978-0-911791-12-9,5,1994,Self-Help,Macmillan Publishers,Reserved
223,Path: A Chronicle,Isaiah Massey MD,978-0-617-13665-1,5,2010,History,MIT Press,Available
224,Star Every Day,Steven Keller,978-0-557-99802-9,5,2008,Self-Help,Wiley,Borrowed
225,The Life of Dawn Martinez,Kimberly Holmes,978-0-513-05231-4,2,2016,Biography,Wiley,Available
226,Storm: A Chronicle,Dr. Gregory Arnold,978-1-76863-423-2,5,2011,History,HarperCollins,Available
227,The Power of Mountain,Kevin Miranda,978-0-376-76945-9,4,2009,Self-Help,McGraw-Hill,Available
228,When Dream Falls,Jacqueline Chen,978-1-208-49649-9,1,1993,Fiction,McGraw-Hill,Available
229,Ocean Explained,Allen White,978-1-253-13552-7,1,2010,Science,Penguin Random House,Available
230,The Philosophy of Path,Gary Marshall,978-0-8164-9383-8,4,2004,Philosophy,Cambridge University Press,Available
231,Understanding River,Shannon Jones,978-1-55330-770-9,5,2005,Science,Wiley,Borrowed
232,The Rise of Shadow,James Ray,978-0-907426-08-0,4,2023,History,Springer,Borrowed
233,Becoming Ancient,Brandon Lang,978-1-55618-579-3,3,1989,Self-Help,Hachette Book Group,Available
234,Mastering Dream,Martin Lozano PhD,978-0-300-21563-2,1,1995,Technology,Macmillan Publishers,Reserved
235,The Science of Star,Steven Mayo,978-1-01-041459-9,1,1995,Science,Springer,Available
236,The Last Storm,Lauren Wilson,978-0-9671883-9-3,2,2012,Fiction,Hachette Book Group,Available
237,The Star Handbook,Karen Davis,978-0-583-31170-0,3,1995,Technology,Hachette Book Group,Borrowed
238,The Rise of Light,John Peterson,978-1-72812-356-1,1,2015,History,McGraw-Hill,Lost
239,Fire: A Chronicle,Chelsea Ramirez,978-1-912711-30-7,3,2021,History,Pearson Education,Borrowed
240,Dream Goes to School,Jodi Baker,978-1-63268-685-5,3,2004,Children,Simon & Schuster,Borrowed
241,Mountain Every Day,Monique Henderson,978-0-629-48978-3,1,2015,Self-Help,Cambridge University Press,Available
242,Little Storm,Colleen Brown,978-1-318-14396-2,2,2001,Children,Pearson Education,Available
243,Ocean Explained,Debra Harris,978-1-4940-1289-2,2,1983,Science,Hachette Book Group,Reserved
244,The Adventures of Storm,Ethan Jones,978-1-72076-502-8,5,1993,Children,Scholastic,Borrowed
245,The Shadow Handbook,Alexandra Bell,978-0-7371-0094-5,2,1987,Technology,Springer,Borrowed
246,Murder at Riverdale,Brandon Torres,978-1-75847-457-2,3,1998,Mystery,Cambridge University Press,Reserved
247,The Case of the Golden Light,Patricia Vincent,978-0-480-26325-6,5,2011,Mystery,Scholastic,Available
248,Principles of Storm,Cheryl Blevins,978-1-878245-56-4,3,2006,Science,Penguin Random House,Borrowed
249,Leading with Light,Kevin Miles,978-1-79541-072-4,5,2017,Business,Springer,Borrowed
250,Little Storm,Mary Torres,978-0-407-03491-4,5,1995,Children,Scholastic,Available
251,Master Your Fire,April King,978-1-882142-36-1,4,2009,Self-Help,Simon & Schuster,Borrowed
252,In the Words of Angela Robinson,Henry Cain,978-1-61449-429-4,1,2013,Biography,Penguin Random House,Available
253,The Science of Dream,Randall Wright,978-0-441-49782-9,2,1984,Science,Springer,Reserved
254,Shadow: A Chronicle,Jeremy Edwards,978-1-56766-708-0,5,2010,History,Pearson Education,Available
255,Missing Shadow,Terry Buchanan,978-0-9894062-6-0,3,2014,Mystery,Hachette Book Group,Available
256,A Story of River,Sara Miller,978-0-591-49750-2,5,1989,Fiction,Macmillan Publishers,Available
257,The Light Handbook,Meredith Black,978-0-324-40793-8,1,2003,Technology,Cambridge University Press,Borrowed
258,Murder at Clearwater,Brent Harris,978-0-87601-467-7,1,1985,Mystery,Cambridge University Press,Available
259,My First Shadow,Melanie Villarreal,978-1-202-23288-8,2,1985,Children,Scholastic,Available
260,River Goes to School,Kevin Richardson,978-1-61766-204-1,1,1994,Children,Macmillan Publishers,Borrowed
261,The Light Strategy,Matthew Barry,978-0-527-74025-2,5,2022,Business,Penguin Random House,Available
262,Lost Storm,Kelly Palmer,978-0-595-72446-8,2,2005,History,Bloomsbury,Reserved
263,Understanding Dream,Lisa White,978-0-599-59961-1,5,2001,Science,Cambridge University Press,Available
264,The History of Path,Brian Villa,978-1-331-26610-5,1,2007,History,Macmillan Publishers,Borrowed
265,Principles of Shadow,Phillip Obrien,978-0-517-62983-3,3,2008,Science,Scholastic,Available
266,Modern Mountain,Patrick Hamilton,978-0-901302-05-2,5,2022,Technology,Cambridge University Press,Available
267,River Explained,Michael Rosario,978-0-397-85598-8,3,1989,Science,Cambridge University Press,Borrowed
268,Lost River,Shelly Carroll,978-1-117-30985-9,1,1999,History,Scholastic,Borrowed
269,The Life of Roberto Roberts,Jeanette Howard,978-1-189-38984-1,4,2008,Biography,Wiley,Borrowed
270,The Power of River,John Lowery,978-0-05-643502-5,5,1985,Self-Help,McGraw-Hill,Available
271,The Art of Light,Susan Brown,978-0-9905169-9-6,4,1985,Business,Springer,Borrowed
272,Ocean Every Day,Nathaniel Garcia,978-0-567-43000-7,4,1990,Self-Help,Simon & Schuster,Reserved
273,River and Meaning,Melanie Rojas,978-0-662-66821-3,4,1997,Philosophy,Cambridge University Press,Available
